Assembly_version	Assembly_name	Class	Clade	Order	Family	Species	Size	Contigs_n50	Scaffold_n50	assembly_level
fAngAng.GCA_013347855.1	fAngAng1.pri	Actinopterygii	Fish	Anguilliformes	Anguillidae	Anguilla anguilla	979045926	5114673	57205429	Chromosome
fAngRos.GCA_018555375.1	ASM1855537v1	Actinopteri	Fish	Anguilliformes	Anguillidae	Anguilla rostrata	975437971	5,018,377	56608776	Chromosome
fAntMac.GCA_013358685.1	fAntMac1.pri	Actinopteri	Fish	Lophiiformes	Antennariidae	Antennarius maculatus	549949511	10,114,706	22928215	Chromosome
fArcCen.GCA_007364275.2	fArcCen1	Actinopteri	Fish	Cichliformes	Cichlidae	Archocentrus centrarchus	932930362	2,146,538	35590001	Chromosome
fAstCal.GCA_900246225.5	fAstCal1.3	Actinopteri	Fish	Cichliformes	Cichlidae	Astatotilapia calliptera	880445568	4,438,245	38669361	Chromosome
fAstMex.GCA_000372685.2	Astyanax_mexicanus-2.0	Actinopteri	Fish	Characiformes	Characidae	Astyanax mexicanus	1335239194	1,767,240	35377769	Chromosome
fBeaKwe.GCA_019155185.1	ASM1915518v1	Actinopteri	Fish	Cypriniformes	Gastromyzontidae	Beaufortia kweichowensis	448565924	5,533,578	17950327	Chromosome
fBetSpl.GCA_900634795.3	fBetSpl5.3	Actinopteri	Fish	Anabantiformes	Osphronemidae	Betta splendens	441388503	2,497,747	20129463	Chromosome
fChaArg.GCA_018997905.1	ASM1899790v1	Actinopteri	Fish	Anabantiformes	Channidae	Channa argus	623704440	13,290,021	28029688	Chromosome
fChaCha.GCA_902362185.1	fChaCha1.1	Actinopteri	Fish	Gonorynchiformes	Chanidae	Chanos chanos	656929047	23,134,051	50300218	Chromosome
fCheRos.GCA_017976325.1	fCheRos1.pri	Actinopteri	Fish	Chaetodontiformes	Chaetodontidae	Chelmon rostratus	644208431	16,959,746	27778429	Chromosome
fCheUnd.GCA_018320785.1	ASM1832078v1	Actinopteri	Fish	Labriformes	Labridae	Cheilinus undulatus	1173472134	16,477,222	51466935	Chromosome
fCluHar.GCA_900700415.2	Ch_v2.0.2	Actinopterygii	Fish	Clupeiformes	Clupeidae	Clupea harengus	786308905	1006413	29845739	Chromosome
fColLuc.GCA_004119915.2	ASM411991v2	Actinopteri	Fish	None	Sciaenidae	Collichthys lucidus	877615421	1,098,566	35919243	Chromosome
fCorClp.GCA_018398675.1	ASM1839867v1	Actinopteri	Fish	Salmoniformes	Salmonidae	Coregonus clupeaformis	2682612311	5,728,271	57494107	Chromosome
fCotGob.GCA_900634415.1	fCotGob3.1	Actinopteri	Fish	Perciformes	Bovichtidae	Cottoperca gobio	609391784	6,330,900	25156145	Chromosome
fCroAlt.GCA_013133815.1	SYSU_Calt_1.1	Actinopteri	Fish	Perciformes	Serranidae	Cromileptes altivelis	1013370389	18,269,829	43466551	Chromosome
fCycLum.GCA_009769545.1	fCycLum1.pri	Actinopterygii	Fish	Scorpaeniformes	Cyclopteridae	Cyclopterus lumpus	572885595	4950682	23863342	Chromosome
fCypCar.GCA_018340385.1	ASM1834038v1	Actinopterygii	Fish	Cypriniformes	Cyprinidae	Cyprinus carpio	1680184848	1558716	29545497	Chromosome
fDanAes.GCA_903798145.1	fDanAes4.1	Actinopteri	Fish	Cypriniformes	Danionidae	Danio aesculapii	1381485597	1,517,104	55996547	Chromosome
fDanKya.GCA_903798195.1	fDanKya3.1	Actinopteri	Fish	Cypriniformes	Danionidae	Danio kyathit	1708446541	1,264,270	64228523	Chromosome
fDenClu.GCA_900700375.2	fDenClu1.2	Actinopteri	Fish	Clupeiformes	Denticipitidae	Denticeps clupeoides	567417970	3,059,612	22793177	Chromosome
fEchNau.GCA_900963305.2	fEcheNa1.2	Actinopteri	Fish	Carangiformes	Echeneidae	Echeneis naucrates	544229243	12,371,513	23287306	Chromosome
fEleEle.GCA_013358815.1	fEleEle1.pri	Actinopteri	Fish	Gymnotiformes	Gymnotidae	Electrophorus electricus	589358956	7,062,559	25664172	Chromosome
fEpiFuc.GCA_011397635.1	E.fuscoguttatus.final_Chr_v1	Actinopteri	Fish	Perciformes	Serranidae	Epinephelus fuscoguttatus	1046995804	13,857,438	44419306	Chromosome
fErpCal.GCA_900747795.4	fErpCal1.3	Cladistia	Fish	Polypteriformes	Polypteridae	Erpetoichthys calabaricus	3613551089	6772339	217689105	Chromosome
fEsoLuc.GCA_004634155.1	Eluc_v4	Actinopterygii	Fish	Esociformes	Esocidae	Esox lucius	940906975	3396779	37550661	Chromosome
fEsoLuc.GCA_011004845.1	fEsoLuc1.pri	Actinopterygii	Fish	Esociformes	Esocidae	Esox lucius	918748614	22630263	37473588	Chromosome
fGadMor.GCA_902167405.1	gadMor3.0	Actinopterygii	Fish	Gadiformes	Gadidae	Gadus morhua	669966409	1015663	28732775	Chromosome
fGobRar.GCA_018491645.1	ASM1849164v1	Actinopteri	Fish	Cypriniformes	Gobionidae	Gobiocypris rarus	959117570	5,333,633	36586440	Chromosome
fGouWil.GCA_900634775.2	fGouWil2.2	Actinopteri	Fish	Blenniiformes	Gobiesocidae	Gouania willdenowi	937169869	1,838,341	38978045	Chromosome
fHemWyc.GCA_019097595.1	SWU_Hwy_1.0	Actinopteri	Fish	Siluriformes	Bagridae	Hemibagrus wyckioides	789799567	21,700,000	26010843	Chromosome
fHetNil.GCA_018136845.1	ASM1813684v1	Actinopteri	Fish	Osteoglossiformes	Osteoglossidae	Heterotis niloticus	670838590	4,571,806	32427226	Chromosome
fHipAbd.GCA_018466805.1	ZJU1.0	Actinopteri	Fish	Syngnathiformes	Syngnathidae	Hippocampus abdominalis	444667964	8410403	21766359	Chromosome
fHipHip.GCA_009819705.1	fHipHip1.pri	Actinopterygii	Fish	Pleuronectiformes	Pleuronectidae	Hippoglossus hippoglossus	596792615	7020318	26312018	Chromosome
fHipSte.GCA_013339905.1	IPHC_HiSten_1.0	Actinopteri	Fish	Pleuronectiformes	Pleuronectidae	Hippoglossus stenolepis	594145200	17,826,919	24985257	Chromosome
fIctPun.GCA_004006655.3	ASM400665v3	Actinopteri	Fish	Siluriformes	Ictaluridae	Ictalurus punctatus	1036985268	1,694,657	26315040	Chromosome
fIstPla.GCA_016859345.1	ASM1685934v1	Actinopterygii	Fish	Perciformes	Istiophoridae	Istiophorus platypterus	614147335	11851605	26283175	Chromosome
fLarCro.GCA_003711585.2	ASM371158v2	Actinopteri	Fish	None	Sciaenidae	Larimichthys crocea	744270469	1,327,071	29200035	Chromosome
fMasArm.GCA_900324485.3	fMasArm1.3	Actinopteri	Fish	Synbranchiformes	Mastacembelidae	Mastacembelus armatus	591951591	8014513	25090313	Chromosome
fMayZeb.GCA_000238955.5	M_zebra_UMD2a	Actinopteri	Fish	Cichliformes	Cichlidae	Maylandia zebra	957485262	1,407,748	32660920	Chromosome
fMegAmb.GCA_018812025.1	ASM1881202v1	Actinopteri	Fish	Cypriniformes	Xenocyprididae	Megalobrama amblycephala	1109871993	2,576,066	42265598	Chromosome
fMegAtl.GCA_019176425.1	MATL_1.0	Actinopteri	Fish	Elopiformes	Megalopidae	Megalops atlanticus	990029801	17,756,893	39402000	Chromosome
fMegCyp.GCA_013368585.1	fMegCyp1.pri	Actinopteri	Fish	Elopiformes	Megalopidae	Megalops cyprinoides	959258046	26,850,664	38251172	Chromosome
fMelBoe.GCA_017639745.1	fMelBoe1.pri	Actinopteri	Fish	Atheriniformes	Melanotaeniidae	Melanotaenia boesemani	865592457	9,299,978	37878235	Chromosome
fMyrMur.GCA_902150065.1	fMyrMur1.1	Actinopteri	Fish	Holocentriformes	Holocentridae	Myripristis murdjan	835254674	14,475,636	34950760	Chromosome
fNeoBic.GCA_902685375.1	fNeoBic2.1	Actinopteri	Fish	Atheriniformes	Phallostethidae	Neostethus bicornis	778440790	23,089,617	29119677	Chromosome
fNibAlb.GCA_014281875.1	ASM1428187v1	Actinopteri	Fish	None	Sciaenidae	Nibea albiflora	627578634	4,420,150	25433336	Chromosome
fNotCel.GCA_009762535.1	fNotCel1.pri	Actinopteri	Fish	Labriformes	Labridae	Notolabrus celidotus	846744125	3,748,462	37090664	Chromosome
fOncKis.GCA_002021735.2	Okis_V2	Actinopteri	Fish	Salmoniformes	Salmonidae	Oncorhynchus kisutch	2375911593	1,159,298	68265700	Chromosome
fOncMyk.GCA_013265735.3	USDA_OmykA_1.1	Actinopteri	Fish	Salmoniformes	Salmonidae	Oncorhynchus mykiss	2341688614	15,579,713	39165350	Chromosome
fOnyMac.GCA_012432095.1	ASM1243209v1	Actinopteri	Fish	Cypriniformes	Cyprinidae	Onychostoma macrolepis	886569841	10,809,623	34067727	Chromosome
fOreAur.GCA_016625535.1	ASM1662553v1	Actinopteri	Fish	Cichliformes	Cichlidae	Oreochromis aureus	1237756756	2,259,908	43135741	Chromosome
fOreNil.GCA_013350305.1	XX_nile	Actinopteri	Fish	Cichliformes	Cichlidae	Oreochromis niloticus	993468885	2,478,287	40346024	Chromosome
fOryJav.GCA_003999625.1	OJAV_1.1	Actinopteri	Fish	Beloniformes	Adrianichthyidae	Oryzias javanicus	809679899	3,558,013	35390520	Chromosome
fOryLat.GCA_002234675.1	ASM223467v1	Actinopteri	Fish	Beloniformes	Adrianichthyidae	Oryzias latipes	734057086	2,530,934	31218526	Chromosome
fPanHyp.GCA_016801045.1	ASM1680104v1	Actinopteri	Fish	Siluriformes	Pangasiidae	Pangasianodon hypophthalmus	742562378	3,478,581	29528124	Chromosome
fPaoPal.GCA_015343265.1	ASM1534326v1	Actinopteri	Fish	Tetraodontiformes	Tetraodontidae	Pao palembangensis	356041988	3269158	15808960	Chromosome
fParGui.GCA_018749465.1	ASM1874946v1	Actinopteri	Fish	Cypriniformes	Gobionidae	Paracanthobrama guichenoti	1087759805	1,965,784	38753313	Chromosome
fParRan.GCA_900634625.2	fParRan2.2	Actinopteri	Fish	None	Ambassidae	Parambassis ranga	551029983	5,080,925	22993012	Chromosome
fPerFla.GCA_004354835.1	PFLA_1.0	Actinopteri	Fish	Perciformes	Percidae	Perca flavescens	877456336	4,268,950	37412490	Chromosome
fPerFlu.GCA_010015445.1	GENO_Pfluv_1.0	Actinopterygii	Fish	Perciformes	Percidae	Perca fluviatilis	951345774	4197643	39550354	Chromosome
fPerMag.GCA_009829125.1	fPerMag1.pri	Actinopteri	Fish	Gobiiformes	Gobiidae	Periophthalmus magnuspinnatus	752621858	2,301,275	32865169	Chromosome
fPhoGun.GCA_910591455.1	fPhoGun1.1	Actinopterygii	Fish	Perciformes	Pholidae	Pholis gunnellus	588730976	3519450	25364761	Chromosome
fPleLeo.GCA_011397275.1	Pleo_1.0	Actinopteri	Fish	Perciformes	Serranidae	Plectropomus leopardus	787600493	1,139,749	34616500	Chromosome
fPoeFor.GCA_013036085.2	Poecilia_formosa_haplotype_mexicana	Actinopteri	Fish	Cyprinodontiformes	Poeciliidae	Poecilia formosa	745326098	1,886,383	30631712	Chromosome
fPoeRei.GCA_904066995.1	PRET-male-REFERENCE	Actinopteri	Fish	Cyprinodontiformes	Poeciliidae	Poecilia reticulata	697709266	8,200,425	32826315	Chromosome
fPolSen.GCA_016835505.1	ASM1683550v1	Cladistia	Fish	Polypteriformes	Polypteridae	Polypterus senegalus	3673880163	4528139	189689183	Chromosome
fPolSex.GCA_016801845.1	ASM1680184v1	Actinopteri	Fish	None	Polynemidae	Polydactylus sextarius	564623279	18,418,211	22256062	Chromosome
fPolSpa.GCA_017654505.1	ASM1765450v1	Actinopteri	Fish	Acipenseriformes	Polyodontidae	Polyodon spathula	1542083420	3441286	48906729	Chromosome
fPunTet.GCA_018831695.1	ASM1883169v1	Actinopteri	Fish	Cypriniformes	Cyprinidae	Puntigrus tetrazona	730818387	1,423,374	25085836	Chromosome
fPygNat.GCA_015220715.1	fPygNat1.pri	Actinopteri	Fish	Characiformes	Serrasalmidae	Pygocentrus nattereri	1222050449	12,898,870	42283192	Chromosome
fReiHip.GCA_006182925.3	UL_REHI_2.0	Actinopterygii	Fish	Pleuronectiformes	Pleuronectidae	Reinhardtius hippoglossoides	598525361	3108829	25015410	Chromosome
fSalFas.GCA_902148845.1	fSalaFa1.1	Actinopteri	Fish	Blenniiformes	Blenniidae	Salarias fasciatus	797507141	2,597,836	32729575	Chromosome
fSalNam.GCA_016432855.1	SaNama_1.0	Actinopteri	Fish	Salmoniformes	Salmonidae	Salvelinus namaycush	2345513378	1,804,090	44976251	Chromosome
fSalSal.GCA_905237065.2	Ssal_v3.1	Actinopterygii	Fish	Salmoniformes	Salmonidae	Salmo salar	2756584103	28058890	28058890	Chromosome
fSalTru.GCA_901001165.2	fSalTru1.2	Actinopterygii	Fish	Salmoniformes	Salmonidae	Salmo trutta	2371880186	1703178	52209666	Chromosome
fSanLuc.GCA_008315115.2	SLUC_FBN_1.2	Actinopteri	Fish	Perciformes	Percidae	Sander lucioperca	901238333	6,663,498	41060379	Chromosome
fSclFor.GCA_900964775.1	fSclFor1.1	Actinopteri	Fish	Osteoglossiformes	Osteoglossidae	Scleropages formosus	784563014	9,102,216	31084684	Chromosome
fScoMax.GCA_013347765.1	ASM1334776v1	Actinopterygii	Fish	Pleuronectiformes	Scophthalmidae	Scophthalmus maximus	556696898	20466349	25949660	Chromosome
fSebUmb.GCA_015220745.1	fSebUmb1.pri	Actinopteri	Fish	Perciformes	Sebastidae	Sebastes umbrosus	800904020	11,445,908	34912176	Chromosome
fSilMer.GCA_014805685.1	ASM1480568v1	Actinopteri	Fish	Siluriformes	Siluridae	Silurus meridionalis	742579920	13,195,069	28049309	Chromosome
fSinChu.GCA_011952085.1	sinChu7	Actinopteri	Fish	Centrarchiformes	Sinipercidae	Siniperca chuatsi	755045244	12,191,788	30508166	Chromosome
fSolSen.GCA_019176455.1	IFAPA_SoseM_1	Actinopterygii	Fish	Pleuronectiformes	Soleidae	Solea senegalensis	603518608	1188264	26091242	Chromosome
fSpaAur.GCA_900880675.2	fSpaAur1.2	Actinopterygii	Fish	Perciformes	Sparidae	Sparus aurata	833595063	2862625	35791275	Chromosome
fSphOrb.GCA_902148855.1	fSphaOr1.1	Actinopteri	Fish	Kurtiformes	Apogonidae	Sphaeramia orbicularis	1342662642	2,360,121	57165184	Chromosome
fSynAcu.GCA_901709675.2	fSynAcu1.2	Actinopterygii	Fish	Syngnathiformes	Syngnathidae	Syngnathus acus	324331233	11959915	14974571	Chromosome
fTakBim.GCA_004026145.2	XU_Tbim_1.0	Actinopteri	Fish	Tetraodontiformes	Tetraodontidae	Takifugu bimaculatus	404311738	1312995	16785490	Chromosome
fTakFla.GCA_003711565.2	ASM371156v2	Actinopteri	Fish	Tetraodontiformes	Tetraodontidae	Takifugu flavidus	366286831	4357567	15676631	Chromosome
fTakRub.GCA_901000725.3	fTakRub1.3	Actinopteri	Fish	Tetraodontiformes	Tetraodontidae	Takifugu rubripes	384126663	3136617	16705553	Chromosome
fTauAds1.GCA_020745685.1	fTauAds1.pri.cur	Actinopterygii	Fish			Tautogolabrus adspersus	723582185	7919333	31691308	Chromosome
fTauBub.GCA_910589615.1	fTauBub2.1	Actinopterygii	Fish	Scorpaeniformes	Cottidae	Taurulus bubalis	615153901	13037006	29138660	Chromosome
fThaAma.GCA_902500255.1	fThaAma1.1	Actinopteri	Fish	Batrachoidiformes	Batrachoididae	Thalassophryne amazonica	2446592878	2,329,598	118421481	Chromosome
fThaSep.GCA_009823395.1	ASM982339v1	Actinopteri	Fish	Tetraodontiformes	Monacanthidae	Thamnaconus septentrionalis	474309635	22457894	23049015	Chromosome
fThuMac.GCA_910596095.1	fThuMac1.1	Actinopteri	Fish	Scombriformes	Scombridae	Thunnus maccoyii	782423979	26,803,536	33761101	Chromosome
fToxCha.GCA_016801885.1	ASM1680188v1	Actinopteri	Fish	None	Toxotidae	Toxotes chatareus	618729764	8,430,381	23928265	Chromosome
fToxJac.GCA_017976425.1	fToxJac2.pri	Actinopteri	Fish	None	Toxotidae	Toxotes jaculatrix	621503431	15,555,772	26859436	Chromosome
fTraTra.GCA_905171665.1	fTraTra1.1	Actinopterygii	Fish	Perciformes	Carangidae	Trachurus trachurus	820163303	6264696	35447499	Chromosome
fTriDal.GCA_015846415.1	ASM1584641v1	Actinopteri	Fish	Cypriniformes	Nemacheilidae	Triplophysa dalaica	607923607	9,273,388	23627495	Chromosome
fTriTib.GCA_008369825.1	ASM836982v1	Actinopteri	Fish	Cypriniformes	Nemacheilidae	Triplophysa tibetana	652930317	2,833,080	24885746	Chromosome
