Assembly_version	Assembly_name	Class	Order	Family	Species	Size	Contigs_n50	Scaffold_n50	Assembly_level
fEleEle.GCA_013358815.1	fEleEle1.pri	Actinopteri	Gymnotiformes	Gymnotidae	Electrophorus electricus	589358956	7,062,559	25664172	Chromosome
fEpiFuc.GCA_011397635.1	E.fuscoguttatus.final_Chr_v1	Actinopteri	Perciformes	Serranidae	Epinephelus fuscoguttatus	1046995804	13,857,438	44419306	Chromosome
fErpCal.GCA_900747795.4	fErpCal1.3	Cladistia	Polypteriformes	Polypteridae	Erpetoichthys calabaricus	3613551089	6772339	217689105	Chromosome
fEsoLuc.GCA_011004845.1	fEsoLuc1.pri	Actinopterygii	Esociformes	Esocidae	Esox lucius	918748614	22630263	37473588	Chromosome
fGadMor.GCA_902167405.1	gadMor3.0	Actinopterygii	Gadiformes	Gadidae	Gadus morhua	669966409	1015663	28732775	Chromosome
bGalGal.GCA_016699485.1	bGalGal1.mat.broiler.GRCg7b	Aves	Galliformes	Phasianidae	Gallus gallus	1053332251	18834961	90861225	Chromosome
fGobRar.GCA_018491645.1	ASM1849164v1	Actinopteri	Cypriniformes	Gobionidae	Gobiocypris rarus	959117570	5,333,633	36586440	Chromosome
fGouWil.GCA_900634775.2	fGouWil2.2	Actinopteri	Blenniiformes	Gobiesocidae	Gouania willdenowi	937169869	1,838,341	38978045	Chromosome
fHemWyc.GCA_019097595.1	SWU_Hwy_1.0	Actinopteri	Siluriformes	Bagridae	Hemibagrus wyckioides	789799567	21,700,000	26010843	Chromosome
fHetNil.GCA_018136845.1	ASM1813684v1	Actinopteri	Osteoglossiformes	Osteoglossidae	Heterotis niloticus	670838590	4,571,806	32427226	Chromosome
fHipAbd.GCA_018466805.1	ZJU1.0	Actinopteri	Syngnathiformes	Syngnathidae	Hippocampus abdominalis	444667964	8410403	21766359	Chromosome
fHipHip.GCA_009819705.1	fHipHip1.pri	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossus hippoglossus	596792615	7020318	26312018	Chromosome
fHipSte.GCA_013339905.1	IPHC_HiSten_1.0	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus stenolepis	594145200	17,826,919	24985257	Chromosome
mHomSap.GCA_009914755.3	CHM13 T2T v1.1	Mammalia	Primates	Hominidae	Homo sapiens T2T	3054832041	T2T	T2T	Chromosome
fIctPun.GCA_004006655.3	ASM400665v3	Actinopteri	Siluriformes	Ictaluridae	Ictalurus punctatus	1036985268	1,694,657	26315040	Chromosome
fIstPla.GCA_016859345.1	ASM1685934v1	Actinopterygii	Perciformes	Istiophoridae	Istiophorus platypterus	614147335	11851605	26283175	Chromosome
fLarCro.GCA_003711585.2	ASM371158v2	Actinopteri	Eupercaria	Sciaenidae	Larimichthys crocea	744270469	1,327,071	29200035	Chromosome
fMasArm.GCA_900324485.3	fMasArm1.3	Actinopteri	Synbranchiformes	Mastacembelidae	Mastacembelus armatus	591951591	8014513	25090313	Chromosome
fMayZeb.GCA_000238955.5	M_zebra_UMD2a	Actinopteri	Cichliformes	Cichlidae	Maylandia zebra	957485262	1,407,748	32660920	Chromosome
fMegAmb.GCA_018812025.1	ASM1881202v1	Actinopteri	Cypriniformes	Xenocyprididae	Megalobrama amblycephala	1109871993	2,576,066	42265598	Chromosome
fMegAtl.GCA_019176425.1	MATL_1.0	Actinopteri	Elopiformes	Megalopidae	Megalops atlanticus	990029801	17,756,893	39402000	Chromosome
fMegCyp.GCA_013368585.1	fMegCyp1.pri	Actinopteri	Elopiformes	Megalopidae	Megalops cyprinoides	959258046	26,850,664	38251172	Chromosome
fMelBoe.GCA_017639745.1	fMelBoe1.pri	Actinopteri	Atheriniformes	Melanotaeniidae	Melanotaenia boesemani	865592457	9,299,978	37878235	Chromosome
fMyrMur.GCA_902150065.1	fMyrMur1.1	Actinopteri	Holocentriformes	Holocentridae	Myripristis murdjan	835254674	14,475,636	34950760	Chromosome
fNeoBic.GCA_902685375.1	fNeoBic2.1	Actinopteri	Atheriniformes	Phallostethidae	Neostethus bicornis	778440790	23,089,617	29119677	Chromosome
fNibAlb.GCA_014281875.1	ASM1428187v1	Actinopteri	Eupercaria	Sciaenidae	Nibea albiflora	627578634	4,420,150	25433336	Chromosome
fNotCel.GCA_009762535.1	fNotCel1.pri	Actinopteri	Labriformes	Labridae	Notolabrus celidotus	846744125	3,748,462	37090664	Chromosome
fOncKis.GCA_002021735.2	Okis_V2	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus kisutch	2375911593	1,159,298	68265700	Chromosome
fOncMyk.GCA_013265735.3	USDA_OmykA_1.1	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus mykiss	2341688614	15,579,713	39165350	Chromosome
fOnyMac.GCA_012432095.1	ASM1243209v1	Actinopteri	Cypriniformes	Cyprinidae	Onychostoma macrolepis	886569841	10,809,623	34067727	Chromosome
fOreAur.GCA_016625535.1	ASM1662553v1	Actinopteri	Cichliformes	Cichlidae	Oreochromis aureus	1237756756	2,259,908	43135741	Chromosome
fOreNil.GCA_013350305.1	XX_nile	Actinopteri	Cichliformes	Cichlidae	Oreochromis niloticus	993468885	2,478,287	40346024	Chromosome
fOryJav.GCA_003999625.1	OJAV_1.1	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias javanicus	809679899	3,558,013	35390520	Chromosome
fOryLat.GCA_002234675.1	ASM223467v1	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias latipes	734057086	2,530,934	31218526	Chromosome
fPanHyp.GCA_016801045.1	ASM1680104v1	Actinopteri	Siluriformes	Pangasiidae	Pangasianodon hypophthalmus	742562378	3,478,581	29528124	Chromosome
fPaoPal.GCA_015343265.1	ASM1534326v1	Actinopteri	Tetraodontiformes	Tetraodontidae	Pao palembangensis	356041988	3269158	15808960	Chromosome
fParGui.GCA_018749465.1	ASM1874946v1	Actinopteri	Cypriniformes	Gobionidae	Paracanthobrama guichenoti	1087759805	1,965,784	38753313	Chromosome
fParRan.GCA_900634625.2	fParRan2.2	Actinopteri	Ovalentaria	Ambassidae	Parambassis ranga	551029983	5,080,925	22993012	Chromosome
fPerFla.GCA_004354835.1	PFLA_1.0	Actinopteri	Perciformes	Percidae	Perca flavescens	877456336	4,268,950	37412490	Chromosome
fPerFlu.GCA_010015445.1	GENO_Pfluv_1.0	Actinopterygii	Perciformes	Percidae	Perca fluviatilis	951345774	4197643	39550354	Chromosome
fPerMag.GCA_009829125.1	fPerMag1.pri	Actinopteri	Gobiiformes	Gobiidae	Periophthalmus magnuspinnatus	752621858	2,301,275	32865169	Chromosome
fPhoGun.GCA_910591455.1	fPhoGun1.1	Actinopterygii	Perciformes	Pholidae	Pholis gunnellus	588730976	3519450	25364761	Chromosome
fPleLeo.GCA_011397275.1	Pleo_1.0	Actinopteri	Perciformes	Serranidae	Plectropomus leopardus	787600493	1,139,749	34616500	Chromosome
fPoeFor.GCA_013036085.2	Poecilia_formosa_haplotype_mexicana	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia formosa	745326098	1,886,383	30631712	Chromosome
fPoeRei.GCA_904066995.1	PRET-male-REFERENCE	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia reticulata	697709266	8,200,425	32826315	Chromosome
fPolSex.GCA_016801845.1	ASM1680184v1	Actinopteri	Carangaria	Polynemidae	Polydactylus sextarius	564623279	18,418,211	22256062	Chromosome
fPolSpa.GCA_017654505.1	ASM1765450v1	Actinopteri	Acipenseriformes	Polyodontidae	Polyodon spathula	1542083420	3441286	48906729	Chromosome
fPolSen.GCA_016835505.1	ASM1683550v1	Cladistia	Polypteriformes	Polypteridae	Polypterus senegalus	3673880163	4528139	189689183	Chromosome
sPriPec.GCA_009764475.2	sPriPec2.1.pri	Chondrichthyes	Pristiformes/Rhiniformes group	Pristidae	Pristis pectinata	2267857790	17,009,522	101699621	Chromosome
fPunTet.GCA_018831695.1	ASM1883169v1	Actinopteri	Cypriniformes	Cyprinidae	Puntigrus tetrazona	730818387	1,423,374	25085836	Chromosome
fPygNat.GCA_015220715.1	fPygNat1.pri	Actinopteri	Characiformes	Serrasalmidae	Pygocentrus nattereri	1222050449	12,898,870	42283192	Chromosome
fReiHip.GCA_006182925.3	UL_REHI_2.0	Actinopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius hippoglossoides	598525361	3108829	25015410	Chromosome
fSalFas.GCA_902148845.1	fSalaFa1.1	Actinopteri	Blenniiformes	Blenniidae	Salarias fasciatus	797507141	2,597,836	32729575	Chromosome
fSalSal.GCA_905237065.2	Ssal_v3.1	Actinopterygii	Salmoniformes	Salmonidae	Salmo salar	2756584103	28058890	28058890	Chromosome
fSalTru.GCA_901001165.2	fSalTru1.2	Actinopterygii	Salmoniformes	Salmonidae	Salmo trutta	2371880186	1703178	52209666	Chromosome
fSalNam.GCA_016432855.1	SaNama_1.0	Actinopteri	Salmoniformes	Salmonidae	Salvelinus namaycush	2345513378	1,804,090	44976251	Chromosome
fSanLuc.GCA_008315115.2	SLUC_FBN_1.2	Actinopteri	Perciformes	Percidae	Sander lucioperca	901238333	6,663,498	41060379	Chromosome
fSclFor.GCA_900964775.1	fSclFor1.1	Actinopteri	Osteoglossiformes	Osteoglossidae	Scleropages formosus	784563014	9,102,216	31084684	Chromosome
fScoMax.GCA_013347765.1	ASM1334776v1	Actinopterygii	Pleuronectiformes	Scophthalmidae	Scophthalmus maximus	556696898	20466349	25949660	Chromosome
fSebUmb.GCA_015220745.1	fSebUmb1.pri	Actinopteri	Perciformes	Sebastidae	Sebastes umbrosus	800904020	11,445,908	34912176	Chromosome
fSilMer.GCA_014805685.1	ASM1480568v1	Actinopteri	Siluriformes	Siluridae	Silurus meridionalis	742579920	13,195,069	28049309	Chromosome
fSinChu.GCA_011952085.1	sinChu7	Actinopteri	Centrarchiformes	Sinipercidae	Siniperca chuatsi	755045244	12,191,788	30508166	Chromosome
fSolSen.GCA_019176455.1	IFAPA_SoseM_1	Actinopterygii	Pleuronectiformes	Soleidae	Solea senegalensis	603518608	1188264	26091242	Chromosome
fSpaAur.GCA_900880675.2	fSpaAur1.2	Actinopterygii	Perciformes	Sparidae	Sparus aurata	833595063	2862625	35791275	Chromosome
fSphOrb.GCA_902148855.1	fSphaOr1.1	Actinopteri	Kurtiformes	Apogonidae	Sphaeramia orbicularis	1342662642	2,360,121	57165184	Chromosome
fSynAcu.GCA_901709675.2	fSynAcu1.2	Actinopterygii	Syngnathiformes	Syngnathidae	Syngnathus acus	324331233	11959915	14974571	Chromosome
fTakBim.GCA_004026145.2	XU_Tbim_1.0	Actinopteri	Tetraodontiformes	Tetraodontidae	Takifugu bimaculatus	404311738	1312995	16785490	Chromosome
fTakFla.GCA_003711565.2	ASM371156v2	Actinopteri	Tetraodontiformes	Tetraodontidae	Takifugu flavidus	366286831	4357567	15676631	Chromosome
fTakRub.GCA_901000725.3	fTakRub1.3	Actinopteri	Tetraodontiformes	Tetraodontidae	Takifugu rubripes	384126663	3136617	16705553	Chromosome
fTauBub.GCA_910589615.1	fTauBub2.1	Actinopterygii	Scorpaeniformes	Cottidae	Taurulus bubalis	615153901	13037006	29138660	Chromosome
fTauAds1.GCA_020745685.1	fTauAds1.pri.cur	Actinopterygii	Labriformes	Labridae	Tautogolabrus adspersus	723582185	7919333	31691308	Chromosome
fThaAma.GCA_902500255.1	fThaAma1.1	Actinopteri	Batrachoidiformes	Batrachoididae	Thalassophryne amazonica	2446592878	2,329,598	118421481	Chromosome
fThaSep.GCA_009823395.1	ASM982339v1	Actinopteri	Tetraodontiformes	Monacanthidae	Thamnaconus septentrionalis	474309635	22457894	23049015	Chromosome
fThuMac.GCA_910596095.1	fThuMac1.1	Actinopteri	Scombriformes	Scombridae	Thunnus maccoyii	782423979	26,803,536	33761101	Chromosome
fToxCha.GCA_016801885.1	ASM1680188v1	Actinopteri	Carangaria	Toxotidae	Toxotes chatareus	618729764	8,430,381	23928265	Chromosome
fToxJac.GCA_017976425.1	fToxJac2.pri	Actinopteri	Carangaria	Toxotidae	Toxotes jaculatrix	621503431	15,555,772	26859436	Chromosome
fTraTra.GCA_905171665.1	fTraTra1.1	Actinopterygii	Perciformes	Carangidae	Trachurus trachurus	820163303	6264696	35447499	Chromosome
fTriDal.GCA_015846415.1	ASM1584641v1	Actinopteri	Cypriniformes	Nemacheilidae	Triplophysa dalaica	607923607	9,273,388	23627495	Chromosome
fTriTib.GCA_008369825.1	ASM836982v1	Actinopteri	Cypriniformes	Nemacheilidae	Triplophysa tibetana	652930317	2,833,080	24885746	Chromosome
fVerVar.GCA_013332515.1	ysfri_vvar_1.0	Actinopteri	Pleuronectiformes	Pleuronectidae	Verasper variegatus	545339360	14,452,835	24764384	Chromosome
fXenCan.GCA_014839995.1	fXenCan1.pri	Actinopteri	Beloniformes	Belonidae	Xenentodon cancila	736214936	2,195,850	28679447	Chromosome
fXipGla.GCA_016859285.1	ASM1685928v1	Actinopterygii	Perciformes	Xiphiidae	Xiphias gladius	691780295	5252707	29220096	Chromosome
fXipCou.GCA_001444195.3	X_couchianus-1.0	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus couchianus	688541509	15,315,838	30550352	Chromosome
fXipHel.GCA_003331165.2	Xiphophorus_hellerii-4.1	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus hellerii	732906125	7,084,538	32404057	Chromosome
fXipMac.GCA_002775205.2	X_maculatus-5.0-male	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus maculatus	704321165	9,181,372	31535491	Chromosome
